"1","Dr. Pinakeswar Mahanta","Collapsed Dimension Method Applied to Problems Involving Thermal Radiation with Participating Medium","Dr. S. C. Mishra","2001"
"2","Dr. Kalyan Kalita","Predictions of Turbulent Plane Plume in Quiescent Ambience and Turbulent Plane Jet in Cross-flow","Dr. A. K. Dass & Dr. A. Dewan","2002"
"3","Dr. Prabal Talukdar","Combined Radiation, Conduction and/or Convection Heat Transfer in Participating Media","Dr. S. C. Mishra","2004"
"4","Dr. P. Rajesh Kanna","Numerical Study of Flow and Conjugate Heat Transfer in Plane Laminar Offset Wall Jets","Dr. M. Kumar Das","2007"
"5","Dr. Madhumita Kalita","Dynamic Characteristics and Stability of Rotors Mounted on Fluid Film Bearings","Dr. S. K. Kakoty","2007"
"6","Dr. Anil  Bora","Processing and Characterisation of Ruthenium Aluminium Alloys","Dr. P. S. Robi & Dr. A. Srinivasan","2007"
"13","Dr. M. Karthikeyan","Detection, Localization and Sizing of a Structural Flaw in a Beam Based on Vibration Measurements","Dr. R. Tiwari","2008"
"12","Dr. Manabendra Pathak","Computational Investigations of Turbulent Rectangular Jets in a Narrow Channel Crossflow","Dr. A. Dewan & Dr. A. K. Dass","2008"
"11","Dr. S. Sekhar Panda","Multi Sensor Based Drill Wear Monitoring using Artificial Neural Network","Dr. D. Chakraborty","2008"
"10","Dr. M. Sivasankar","Failure analysis Hip Prosthesis","Dr. D. Chakraborty & Dr. S. K. Dwivedy","2008"
"9","Dr. Muthukumaran R","Transient Response of a Participating Medium Subjected to  Short-Pulse Radiation  Sources","Dr. S. C. Mishra","2008"
"19","Dr. E. Vishnu Vardhana Rao","Study of Turbulent Flow and Conjugate Heat Transfer of Plane Wall and Offset Jets","Dr. M. Kumar Das","2009"
"8","Dr. Gonella V. Durga Prasad","Studies on Flow Instabilities and Nonlinear Oscillations in Natural Circulation Boiling Systems","Dr. M. Pandey","2008"
"7","Dr. Bitta Gopal Mondal","Application of the Lattice Boltzmann Method in Solving Energy Equations of  Heat Transfer Problems Involving Thermal Radiation.","Dr. S. C. Mishra","2008"
"18","Dr. G. Prashant Pralhad","Soft Computing Assisted Modelling of Symmetric and Asymmetric Cold Flat Rolling Processes","Dr. U. S. Dixit","2009"
"17","Dr. Vadiraja D.N","Vibration Analysis, Control and Optimal Placement of MFC Actuators and Sensors on Rotating Thin-Walled Composite Cantilever Beams","Dr. A. D Sahasrabudhe","2009"
"16","Dr. Barun Pratiher","Nonlinear Dynamics of Flexible Cartesian Manipulators","Dr. S. K. Dwivedy","2009"
"24","Dr. Deba Kumar Sarma","Experimental Study, Neural Network Modelling and Optimization of Environment-Friendly Air-Cooled and Dry Turning Processes","Dr. U. S. Dixit","2010"
"15","Dr. Tarapada Roy","Finite Element Based Design and Optimal Vibration Control of Smart Fiber Reinforced Composite Shell Structures Using Genetic Algorithm","Dr. D. Chakraborty","2009"
"14","Dr. Jagu Srinivasa Rao","Design Optimization of Active Magnetic Thrust Bearing Systems Using Multi-Objective Genetic Algorithms","Dr. R. Tiwari","2009"
"23","Dr. Vijaya Kumar Pantangi","Development and Performance Analysis of Porous Radiant Burners for Cooking Applications","Dr. S. C. Mishra & Dr. P. Muthukumar","2010"
"22","Dr. Lakshmanan S. P.","Investigations on Startup Instabilities and Power Ramping Procedures for Natural Circulation Boiling Systems","Dr. M. Pandey","2010"
"20","Dr. P. Pandithevan","Subject Specific Design and Analysis for Fabrication of Human Femoral Scaffold","Dr. S. K. Dwivedy","2009"
"21","Dr. Ranjan Das","Retrieval of Parameters in Heat Transfer Problems Involving Thermal Radiation","Dr. S. C. Mishra & Dr. R. Uppaluri","2010"
"32","Dr. D. Santosh Kumar","Multigrid Computation of Steady and Time-Dependent Incompressible Viscous Flows","Dr. A. K. Dass & Dr. A. Dewan","2011"
"31","Dr. Swarup K. Laha","Analysis of Stability and Unbalance Response of Flexible Rotor Supported on Hydrodynamic Porous Journal Bearing","Dr. S. K. Kakoty","2011"
"30","Dr. D. Arumuga Perumal","Lattice Boltzmann Computation of Micro and Macro Fluid Flows and Heat Transfer","Dr. A. K. Dass","2011"
"29","Dr. A. Satheesh","Thermal Modeling and Performance Investigations of Metal Hydride Based Heat Pump","Dr. P. Muthukumar & Dr. A. Dewan","2011"
"28","Dr. Sanjib Banerjee","Mechanical Properties and High Temperature Deformation Behaviour of Al-Cu-Mg Alloys Micro-alloyed with Sn","Dr. P. S. Robi & Dr. A. Srinivasan","2011"
"27","Dr. C. Subramanian","Design, Development and Performance of Thermoplastic Composite Leaf Springs","Dr. S. Senthilvelan","2011"
"26","Dr. Manjuri Hazarika","A Fuzzy Set Based Setup Planning Expert System Considering Fixturing Aspects for Machining of Prismatic Parts","Dr. U. S Dixit","2011"
"25","Dr. M. Eswaran","Numerical and Experimental Investigations on Free Surface Characteristics of Sloshing Waves in Externally Induced Tanks","Dr. U. K. Saha","2011"
"39","Dr. Dillip Kumar Biswal","Fabrication, Modeling, Analysis and Application of Silver-Electrode Ionic Polymer Metal Composite Actuator","Dr. D. Bandopadhyay & Dr. S. K. Dwivedy","2012"
"38","Dr. Ratnakar Das","Experimental Study and Simulation of Multi-Hole Extrusion Process","Dr. U. S. Dixit","2012"
"37","Dr. Ramchandra P. Chopade","Thermal Design and Analysis of a Radiant Furnance for Uniform Thermal Conditions","Dr. S. C. Mishra & Dr. P. Mahanta","2012"
"36","Dr. Sachin K. Singh","Identification of Multiple Cracks in a Shaft System","Dr. R. Tiwari & S. Talukdar","2012"
"35","Dr. Perumalla Janaki Ramulu","Forming Behavior of Friction Stir Welded Sheets","Dr. R. G. Narayanan","2012"
"43","Dr. P. S. Rama Sreekanth","Feasibility Studies on Ultra High Molecular Weight Polyethylene/Multi Walled Carbon Nanotubes Composites for Total Joint Replacements","Dr. S. Kanagaraj","2013"
"44","Dr. Biswajit Nayak","Dynamic Stability of Magnetorheological Elastomer based Sandwich Beams","Dr. S. K. Dwivedy & Dr. K.S.R. K. Murthy","2013"
"42","Dr. Biplab Kumar Debnath","Experimental and Theoretical Routes towards Assessing the Potential of Emulsified Palm Biodiesel as an Alternative to Diesel Fuel","Dr. U. K. Saha & Dr. N. Sahoo","2013"
"41","Dr. Mohit Lal","Identification of Multiple Fault Parameters In Rotor-Bearing-Coupling Systems Based on Forced Response Measurements","Dr. R. Tiwari","2013"
"45","Dr. M. Chandrasekaran","Cloud Computing Based Machining Optimization","Dr. U. S. Dixit","2014"
"40","Dr. Hrushikesh Sarangi ","Optimal strain gage locations for experimental determination of stress intensity factors","Dr. K. S. R. K. Murthy & Dr. D. Chakraborty","2012"
"56","Dr. Bibin John","Numerical Investigations of Shock Wave Boundary Layer Interaction in Hypersonic Flows","Dr. V. Kulkarni","2014"
"55","Dr. Pitambar Randive","Mesoscopic Modeling of Capillarity-Wettability Interaction","Dr. A. Dalal","2014"
"54","Dr. Shravankumar C.","Crack Identification in Rotors with Full-Spectrum","Dr. R. Tiwari","2014"
"53","Dr. Sukanta Roy","Aerodynamic Performance Evaluation of a Novel Savonius-style Wind Turbine Through Unsteady Simulations and Wind Tunnel Experiments","Dr. U. K. Saha","2014"
"69","Dr. Dhruba Jyoti Bordoloi","Optimum Multi-Fault Classification of Gears With Integration of Evolutionary and SVM Algorithms","Dr. R. Tiwari","2015"
"51","Dr. Lintu Roy","Groove Locations for Optimum Performance of Two-Axial Groove and Multi-Lobe Hydrodynamic Bearings","Dr. S. K. Kakoty","2014"
"50","Dr. V. Satheeshkumar","Forming of Adhesive Bonded Steel sheets","Dr. R. G. Narayanan","2014"
"33","Dr. L. Lalmingsanga","Post combustion carbon di-oxide capture through adsorption process in fixed and fluidized beds","Dr. P. Mahanta","2012"
"67","Dr. M. S. Aravinda Kumar","Design and Non-linear Frequency Response Analysis of Smart Functionally Graded Plates using a 1-3 Piezoelectric Composite","Dr. S. Panda & Dr. D. Chakraborty","2015"
"66","Dr. A. Ghatak","Creep correlation of Micro-alloyed HP40Nb reformer steel","Dr. P. S.  Robi","2015"
"65","Dr. Thrisekhar Reddy Ganji","Characterization of Cylindrical and Elliptical Textured Journal Bearing","Dr. S. K. Kakoty","2015"
"34","Dr. Manjula Das","Investigation on Biogas Generation and Purification using Lignocellulosic Biomass and Cattle Dung","Dr. P. Mahanta","2012"
"64","Dr. Anil Kumar Deepati","Transient Thermal analysis and Experimental Investigations of Friction Stir Welding on Similar and Dissimilar Materials.","Dr. P. Biswas","2015"
"63","Dr. Niraj Kumar Mishra","Development of Self - Aspirated Two-Layer Porous radiant burners for LPG Cooking Applications.","Dr. P. Muthukumar & Dr. S. C. Mishra","2015"
"71","Dr. Sathisha H. M.","Thermo-electro-hydrodynamic investigations of all-vanadium redox flow battery using lumped model and numerical simulation","Dr. A. Dalal","2015"
"68","Dr. L. G. Kiran Kumar","Thermal Comfort Analysis of Building with Emphasis on Roof Types","Dr. P. Muthukumar","2015"
"70","Dr. N. Shanmuga Priya","Synthesis and characterization of high Oxygen storage capacity nanoparticles dispersed Diesel for the emission  reduction and performance enhancement of a direct Injection Engine","Dr. S. Kanagaraj & Dr. C. Somayaji","2015"
"62","Dr. Yadaiah Nirsanametla","Experimental investigation and numerical modeling of deep penetration laser and GTA welding processes","Dr. S. Bag","2015"
"61","Dr. Bhaskor J. Bora","Standardizing the specifications of a biogas run dual fuel diesel engine for stationary applications","Dr. U. K. Saha","2015"
"57","Dr. P. Rameshbabu","Experimental and computational Investigations of force prediction methodology from force balances for short duration applications","Dr. S. K. Dwivedy & Dr. V. Kulkarni","2015"
"79","Dr. A. Muthuraja","Development and Performance Evaluation of Tungsten Carbide based Self Lubricating Cutting Tool","Dr. S. Senthilvelan","2016"
"58","Dr. Sachindra Mahto","Shape Optimization of Revolute-Jointed Flexible Manipulators","Dr. U. S. Dixit & Dr. A. K. Gogoi","2015"
"78"," Dr. Sandeep Singh","Model Based Fault and System Identification in Rotor-AMB Systems with Breathing Crack","Dr. R. Tiwari","2016"
"77","Dr. Ravi Kant","Assessment of feasibility, productivity and product quality during laser bending of magnesium alloy sheets","Dr. S. N. Joshi","2016"
"76","Dr. Phyu Phyu Thant","Experimental Investigation of Cereal Crop Drying in an Inclined Bubbling Fluidized Bed","Dr. P. Mahanta and Dr. P. S. Robi","2016"
"75","Dr. T. Moasunep Jamir","Gas Foil Bearings: Stability Analysis using Different Numerical Models for Foil Structure","Dr. S. K. Kakoty and Dr. K. Kalita","2016"
"74","Dr. S. Arun","Design, development and testing of user friendly, light weight and inexpensive artificial limb for trans-femoral amputees","Dr. S. Kanagaraj","2016"
"73","Dr. Seikh Mustafa Kamal","A theoretical and experimental study of thermal autofrettage process","Dr. U. S. Dixit","2016"
"46","Dr. Kaushik Das","Non-Invasive Detection of a Tumor in a Human Breast","Dr. S. C. Mishra","2014"
"59","Dr. Rupesh Singh","Non-Invasive Detection and Differentiation of Skin Cancer Stages - a Numerical Study","Dr. S. C. Mishra","2015"
"60","Dr. Biswajit Parida","Experimental Investigation, Modeling and Optimization of Friction Stir Welding Process","Dr. S. Pal","2015"
"47","Dr. S. Anbarasu","Studies on Metal Hydride Based Hydrogen Storage Device","Dr. S. C. Mishra & Dr. P. Muthukumar","2014"
"48","Dr. B. Satya Sekhar","Studies on Metal Hydride Based Heat Transformer","Dr. P. Muthukumar","2014"
"49","Dr. Rakesh Kumar","Design, Fabrication and Novel Calibration Techniques for Heat Transfer Gauges during Short-Duration Transient Measurement","Dr. N. Sahoo","2014"
"52","Dr. Ravi Kumar Peetala ","Conjugate Heat Transfer Analysis in Hypersonic Applications","Dr. N. Sahoo & Dr. V. Kulkarni","2014"
"80","Dr. V. Yadav","Inverse estimation of material parameters, convective heat transfer coefficients and friction in warm flat rolling","Dr. U.S. Dixit & Dr. A.K. Singh","2016"
"81","Dr. A. Johnney Mertens","Performance of Injection Molded Carbon Nano-Tube Polypropylene Asymmetric Gear","Dr. S. Senthilvelan","2016"
"82","Dr. Azd Zayoud","Circulating Fluidized Bed Combustor towards Third Generation of Oxy-fuel Combustion","Dr. P. Mahanta and Dr. U. K. Saha","2016"
"83","Dr. S. Kirtania","Analysis of Carbon Nanotube Reinforced Composites having a Broken CNT","Dr. D. Chakraborty","2016"
"84","Dr. M. Baruah","Experimental investigation and numerical modeling of plasma and laser microwelding processes","Dr. S. Bag","2017"
"85","Dr. S. Peter","Dynamics of the wake behind an oscillating and rotating sphere in uniform flow","Dr. A. K. De","2017"
"72","Dr. Jagannath Sardar ","Design and Development of Low Cost Cement Reinforced Plymeric Composite Material for Fabrication of Automotive Parts","Dr. D. Bandopadhya","2015"
"86","Dr. V. K. Mishra","Estimation of Parameters in Conduction-Radiation Heat Transfer in Porous Media","Dr. S. C. Mishra and Dr. D. N. Basu","2017"
"87","Dr. D. K. Yaduwanshi","Plasma assisted hybrid friction stir welding of similar and dissimilar materials","Dr. S. Bag and Dr. S. Pal","2017"
"88","Dr. S. Sarma","Thin film heat transfer gauges for short duration transient measurements","Dr. N. Sahoo","2017"
"89","Dr. D. Chakraborty","Strain Gage Based Determination of Stress Intensity Factors in Cracked Orthotropic Materials","Dr. D. Chakraborty and Dr. K. S. R. K. Murthy","2017"
"90","Dr. G. N. Shelke","Parametric Studies of Downdraft Gasifier along with Tar Cracking","Dr. P. Mahanta","2017"
"91","Dr. P. K. Sahu","Enhancement of Weld Qualities in Friction Stir Welding","Dr. S. Pal","2017"
"92","Dr. D. K. Rabha","Development and Performance Investigation of a Solar Dryer Integrated with Latent Heat Storage","Dr. P. Muthukumar","2017"
"93","Dr. R. Kalidasan","Experimental Investigations on Double Tool Turning Process","Dr. S. Senthilvelan and Dr. U. S. Dixit","2017"
"94","Dr. H. Niyas","Experimental and Numerical Investigations on the development and optimization of latent heat storage system","Dr. P. Muthukumar","2017"
"95","Dr. C. Patel","Application of Electromagnetics in Forming of Tubes and Perforation of Sheets","Dr. S. D. Kore","2017"
"96","Dr. H. Gurung","Self-sensing shape memory alloy wire actuators using Kalman filters","Dr. A. Banerjee ","2017"
"97","Dr. B. Das","Weld Quality Monitoring and Defect Identification in Friction Stir Welding Process","Dr. S. Pal and Dr. S. Bag","2017"
"98","Dr. J. Manik","Well-balanced and consistent algorithms for three-dimensional simulations of binary immiscible flows","Dr. A. Dalal","2017"
"99","Dr. G. S. Sinha","Development and Performance Analysis of Self-Aspirated Porous Radiant Burners for Kerosene Pressure Stove","Dr. P. Muthukumar and Dr. S. C. Mishra","2017"
"100","Dr. G. Bolar","Numerical and experimental studies on thin-wall machining of aerospace grade aluminum alloy","Dr. S. N. Joshi","2017"
"101","Dr. P. Kalita","Regulation of numerical diffusion for compressible-flow computations","Dr. A. K. Dass","2017"
"103","Dr. S. Singh","Experimental Study and Modeling of Abrasive Flow Finishing Process for Nano Finishing of Macro to Micro Features","Dr. M. R. Sankar","2018"
