page_ptr	id	path	depth	numchild	title	draft_title	slug	content_type	live	has_unpublished_changes	url_path	owner	seo_title	show_in_menus	search_description	go_live_at	expire_at	expired	locked	first_published_at	last_published_at	latest_revision_created_at	live_revision	document	name	abstract	pub_type	download_link	pub_issue	pub_year	pub_journal	pub_vol	page_start	page_end	citations	alt_people_text
1210	1210	00010001000300010001	5	0	Discrete transfer method applied to transient radiative transfer problems in participating medium	Discrete transfer method applied to transient radiative transfer problems in participating medium	2003_2_discrete-transfer-method-applied-to-transient-radiative-transfer-problems-in-participating-medium	18	1	0	/mech/research/publications/2003_2_discrete-transfer-method-applied-to-transient-radiative-transfer-problems-in-participating-medium/			0				0	0						Discrete transfer method applied to transient radiative transfer problems in participating medium		2		44	2003-01-01	Numerical Heat Transfer	Part A: Applications	2	183	197	P. Rath, S.C. Mishra, P. Mahanta, U.K. Saha, K. Mitra
1211	1211	00010001000300010002	5	0	Application of a particle swarm algorithm for parameter retrieval in a transient conduction-radiation problem	Application of a particle swarm algorithm for parameter retrieval in a transient conduction-radiation problem	2011_2_application-of-a-particle-swarm-algorithm-for-parameter-retrieval-in-a-transient-conduction-radiation-problem	18	1	0	/mech/research/publications/2011_2_application-of-a-particle-swarm-algorithm-for-parameter-retrieval-in-a-transient-conduction-radiation-problem/			0				0	0						Application of a particle swarm algorithm for parameter retrieval in a transient conduction-radiation problem		2		59	2011-01-01	Numerical Heat Transfer	Part A: Applications	9	672	692	R.P Chopade, E. Agnihotri, A.K.Singh, A.Kumar, R.Uppaluri, S.C Mishra, P.Mahanta
1212	1212	00010001000300010003	5	0	Numerical analysis of an inverseboundary design problem of a 3-D radiant furnace with a 3-D design object	Numerical analysis of an inverseboundary design problem of a 3-D radiant furnace with a 3-D design object	2011_2_numerical-analysis-of-an-inverseboundary-design-problem-of-a-3-d-radiant-furnace-with-a-3-d-design-object	18	1	0	/mech/research/publications/2011_2_numerical-analysis-of-an-inverseboundary-design-problem-of-a-3-d-radiant-furnace-with-a-3-d-design-object/			0				0	0						Numerical analysis of an inverseboundary design problem of a 3-D radiant furnace with a 3-D design object		2		60	2011-01-01	Numerical Heat Transfer	Part A: Applications	1	25	49	R.P Chopade, S.C Mishra, P. Mahanta, S. Maruyama
1213	1213	00010001000300010004	5	0	Formation of Al15Mn3Si2 phase during solidification of a novel Al-12%Si-4%Cu-1.2%Mn heat-resistant alloy and its thermal stability	Formation of Al15Mn3Si2 phase during solidification of a novel Al-12%Si-4%Cu-1.2%Mn heat-resistant alloy and its thermal stability	2018_2_formation-of-al15mn3si2-phase-during-solidification-of-a-novel-al-12si-4cu-12mn-heat-resistant-alloy-and-its-thermal-stability	18	1	0	/mech/research/publications/2018_2_formation-of-al15mn3si2-phase-during-solidification-of-a-novel-al-12si-4cu-12mn-heat-resistant-alloy-and-its-thermal-stability/			0				0	0						Formation of Al15Mn3Si2 phase during solidification of a novel Al-12%Si-4%Cu-1.2%Mn heat-resistant alloy and its thermal stability		2			2018-01-01	Journal of Materials Engineering and Performance	Online on Feb. 21, 2018			0	Xiaojing Suo, Hengcheng Liao, Yiyun Hu, Uday S. Dixit, Pavel Petrov
1214	1214	00010001000300010005	5	0	Formation of Al15Mn3Si2 phase during solidification of a novel Al-12% Si-4% Cu-1.2% Mn heat-resistant alloy and its thermal stability	Formation of Al15Mn3Si2 phase during solidification of a novel Al-12% Si-4% Cu-1.2% Mn heat-resistant alloy and its thermal stability	2018_2_formation-of-al15mn3si2-phase-during-solidification-of-a-novel-al-12-si-4-cu-12-mn-heat-resistant-alloy-and-its-thermal-stability	18	1	0	/mech/research/publications/2018_2_formation-of-al15mn3si2-phase-during-solidification-of-a-novel-al-12-si-4-cu-12-mn-heat-resistant-alloy-and-its-thermal-stability/			0				0	0						Formation of Al15Mn3Si2 phase during solidification of a novel Al-12% Si-4% Cu-1.2% Mn heat-resistant alloy and its thermal stability		2			2018-01-01	Journal of Materials Engineering and Performance	Online on Feb. 21, 2018			0	Xiaojing Suo, Hengcheng Liao, Yiyun Hu, Uday S. Dixit, Pavel Petrov
1215	1215	00010001000300010006	5	0	Motor imagery and mental fatigue: inter-relationship and EEG based estimation	Motor imagery and mental fatigue: inter-relationship and EEG based estimation	2018_2_motor-imagery-and-mental-fatigue-inter-relationship-and-eeg-based-estimation	18	1	0	/mech/research/publications/2018_2_motor-imagery-and-mental-fatigue-inter-relationship-and-eeg-based-estimation/			0				0	0						Motor imagery and mental fatigue: inter-relationship and EEG based estimation		2			2018-01-01	Journal of computational neuroscience	Online First			0	U Talukdar, SM Hazarika, JQ Gan
1216	1216	00010001000300010007	5	0	A Review on Welding Residual Stress Measurement by Hole Drilling Technique and its Importance	A Review on Welding Residual Stress Measurement by Hole Drilling Technique and its Importance	2018_2_a-review-on-welding-residual-stress-measurement-by-hole-drilling-technique-and-its-importance	18	1	0	/mech/research/publications/2018_2_a-review-on-welding-residual-stress-measurement-by-hole-drilling-technique-and-its-importance/			0				0	0						A Review on Welding Residual Stress Measurement by Hole Drilling Technique and its Importance		2			2018-01-01	Journal of Welding and Joining	ISSN 2466-2232Online ISSN 2466-2100, pp 38-45.			0	R. Chakrabarti, P. Biswas, S. C. Saha
1217	1217	00010001000300010008	5	0	Experimental and Numerical Study on Effect of Weld Reinforcement on Angular Distortion of SAW Square butt Welded Plates	Experimental and Numerical Study on Effect of Weld Reinforcement on Angular Distortion of SAW Square butt Welded Plates	2018_2_experimental-and-numerical-study-on-effect-of-weld-reinforcement-on-angular-distortion-of-saw-square-butt-welded-plates	18	1	0	/mech/research/publications/2018_2_experimental-and-numerical-study-on-effect-of-weld-reinforcement-on-angular-distortion-of-saw-square-butt-welded-plates/			0				0	0						Experimental and Numerical Study on Effect of Weld Reinforcement on Angular Distortion of SAW Square butt Welded Plates		2			2018-01-01	Journal of Welding and Joining,	ISSN 2466-2232, Online ISSN 2466-2100, https://doi.org/10.5781/JWJ.2018.36.2.8.			0	H. K. Narang, M. M. Mahapatra, P. K. Jha, PVSS Sridhar and P. Biswas (2018) ,
1218	1218	00010001000300010009	5	0	Two-Dimensional elasticity solution for arbitrarily supported axially functionally graded	Two-Dimensional elasticity solution for arbitrarily supported axially functionally graded	2018_2_two-dimensional-elasticity-solution-for-arbitrarily-supported-axially-functionally-graded	18	1	0	/mech/research/publications/2018_2_two-dimensional-elasticity-solution-for-arbitrarily-supported-axially-functionally-graded/			0				0	0						Two-Dimensional elasticity solution for arbitrarily supported axially functionally graded		2			2018-01-01	Journal of Solid Mechanics	Inpress			0	A. Singh, P. Kumari
1219	1219	0001000100030001000A	5	0	Analytical Solution of Functionally Graded Beam Having Longitudinal Stiffness Variation	Analytical Solution of Functionally Graded Beam Having Longitudinal Stiffness Variation	2018_2_analytical-solution-of-functionally-graded-beam-having-longitudinal-stiffness-variation	18	1	0	/mech/research/publications/2018_2_analytical-solution-of-functionally-graded-beam-having-longitudinal-stiffness-variation/			0				0	0						Analytical Solution of Functionally Graded Beam Having Longitudinal Stiffness Variation		2			2018-01-01	International Journal for Computational Methods in Engineering Science & Mechanics	Inpress			0	Agyapal Singh, Poonam Kumari
1220	1220	0001000100030001000B	5	0	Numerical appraisal of three low Mach number algorithms for radiative-convective flows in enclosures	Numerical appraisal of three low Mach number algorithms for radiative-convective flows in enclosures	2018_2_numerical-appraisal-of-three-low-mach-number-algorithms-for-radiative-convective-flows-in-enclosures	18	1	0	/mech/research/publications/2018_2_numerical-appraisal-of-three-low-mach-number-algorithms-for-radiative-convective-flows-in-enclosures/			0				0	0						Numerical appraisal of three low Mach number algorithms for radiative-convective flows in enclosures		2			2018-01-01	Computers and Mathematics with Applications	In Press			0	Parmananda, M., Dalal, A., and Natarajan, G.
1221	1221	0001000100030001000C	5	0	A Parametric Study on the Droplet Detachment Process from the Ceiling Under the Effect of Gravity	A Parametric Study on the Droplet Detachment Process from the Ceiling Under the Effect of Gravity	2018_2_a-parametric-study-on-the-droplet-detachment-process-from-the-ceiling-under-the-effect-of-gravity	18	1	0	/mech/research/publications/2018_2_a-parametric-study-on-the-droplet-detachment-process-from-the-ceiling-under-the-effect-of-gravity/			0				0	0						A Parametric Study on the Droplet Detachment Process from the Ceiling Under the Effect of Gravity		2			2018-01-01	Engineering Computations	In Press			0	Manik, J., Dalal, A., and Natarajan, G.
1222	1222	0001000100030001000D	5	0	Irreversibility analysis in a slip aided electroosmotic flow through an asymmetrically heated microchannel: The effects of joule heating and the conjugate heat transfer	Irreversibility analysis in a slip aided electroosmotic flow through an asymmetrically heated microchannel: The effects of joule heating and the conjugate heat transfer	2018_2_irreversibility-analysis-in-a-slip-aided-electroosmotic-flow-through-an-asymmetrically-heated-microchannel-the-effects-of-joule-heating-and-the-conjugate-heat-transfer	18	1	0	/mech/research/publications/2018_2_irreversibility-analysis-in-a-slip-aided-electroosmotic-flow-through-an-asymmetrically-heated-microchannel-the-effects-of-joule-heating-and-the-conjugate-heat-transfer/			0				0	0						Irreversibility analysis in a slip aided electroosmotic flow through an asymmetrically heated microchannel: The effects of joule heating and the conjugate heat transfer		2			2018-01-01	Analytica Chimica Acta	in press			0	H. S. Gaikwad, A. Roy, P. K. Mondal, N. Chimres, S. Wongwises
1223	1223	0001000100030001000E	5	0	Analytical Solution for Bending Analysis of Axially Functionally Graded Angle-Ply Flat Panels	Analytical Solution for Bending Analysis of Axially Functionally Graded Angle-Ply Flat Panels	2018_2_analytical-solution-for-bending-analysis-of-axially-functionally-graded-angle-ply-flat-panels	18	1	0	/mech/research/publications/2018_2_analytical-solution-for-bending-analysis-of-axially-functionally-graded-angle-ply-flat-panels/			0				0	0						Analytical Solution for Bending Analysis of Axially Functionally Graded Angle-Ply Flat Panels		2			2018-01-01	Mathematical Problems in Engineering	ID 2597484	1	17	0	Agyapal Singh, Poonam Kumari, and Rupam Hazarika
