"SN","PI","Title","Co-PIs","Agency","Amount","Commencement","Completion"
"1","Dr. B Mehta","Thermo-hydrodynamics of evaporating meniscus of conventional fluid and ferrofluids under externally imposed magnetic field inside heated mini-channels",,"SERB","44.93","2017","2020"
"2","Dr. M. Ravi Sankar","Design and Development of Automated Abrasive Flow Nano-Finishing (A-AFNF) Process for Defence Applications.",,"DRDO","78.6","2017","2020"
"3","Dr. P. Kumari","Analytical solution for boundary layer stresses in piezoelectric plates with longitudinally functionally graded materials",,"DST","23.96","2017","2020"
"4","Dr. S. Kanagaraj","Gait analysis based patient specific prosthetic polycentric knee joint and socket for trans-femoral amputees to improve their walking pattern",,"PRISM, DSIR","22","2017","2020"
"5","Dr. S. Kanagaraj","Preservation of residual hearing by localized delivery of nanoceria based solid solution and composite as an antioxidant in cochlear implants",,"Department of Biotechnology","132.37","2017","2020"
"6","Dr. P. Muthukumar","Development of High Temperature Thermal Energy Storage System for Solar Thermal Power Plant",,"Department of Science and Technology","159","2017","2020"
"7","Dr. P. Muthukumar","Reversible Alkali Metal Based Hydrides for High Temperature Thermal Energy Storage",,"Department of Science and Technology","76.5","2017","2020"
"8","Dr. P. Muthukumar","Design, development and demonstration of indigenous hydrogen storage and fuel cell system for mobile and stationary applications of 5 kW capacity.",,"IMPRINT - MHRD","48.5","2017","2020"
"9","Dr. P. Muthukumar","Design and development of energy efficient and environment friendly LPG and Kerosene cooking stoves with Porous Radiant Burners for household and large-scale cooking applications.",,"IMPRINT - MHRD","159.6","2017","2020"
"10","Dr. R. GANESH NARAYANAN","Forming of automotive materials at elevated temperature and selection of lubricants for sustainable manufacturing",,"DST, SERB; Indo-sri Lanka collaborative research project","11.11","2017","2020"
"11","Dr. S Senthilvelan","Manufacturing Solutions for the Preparation of Siddha Medicines (Traditional Medicines Originated from Tamilnadu)",,"IMPRINT-MHRD","57.98","2017","2020"
"12","Prof. S. K. Dwivedy","Probabilistic and seismic hazard assessment (PSHA) and fragility evaluation of SSC?s",,"NPCIL","76","2017","2020"
"13","Dr. M. Pandey","Investigations on hydrodynamics, flow regimes and heat transfer characteristics of flow boiling in mini- and microchannels","Dr. A. Singh","SERB (DST)","58.95","2017","2020"
"14","Dr. Chandan Das, Dr S. Pal","R&D work on assessment of corrosion of the steel liner of the water conductor system of Kopili H.E. Plant and suggestion for selection of corrosion resistance system for the steel liner including a model study",,"NEEPCO","27.19","2016","2019"
"15","Dr. M. Ravi Sankar, Dr. Sunil Jha and Dr. Vimal Katiyar","Abrasive Flow Finishing of Micro to Macro Complex Features.",,"Department of Science and Technology (Under TSDP).","97","2016","2019"
