"Authors","Title","Year","Journal","Volume","Issue","Page_Start","Page_End","Citations"
"U.S. Dixit and P.M. Dixit","A finite element analysis of flat rolling and application of fuzzy set theory","1996","Int. J. Mach. Tools Manufact.","36","-","947","969","18"
"A.K.Saha, and G.Biswas","Application of a Multigrid Method for Flows Behind Bluff Bodies in a Channel","1996","Journal of Institution of Engineers","77","-","13","21","0"
"M.D. Kulkarni, P.S. Robi, R.C. Prasad & P. Ramakrishnan","Deformation and fracture behaviour of  cast and extruded 7075 Al-SiCp composites at room and elevated temperatures","1996","Materials Transactions, Japan Institute of Materials","37","3","223","229","0"
"Saha UK, and Roy B","Development of a New Tandem Cascade for Axial Flow Compressor Applications","1996","International Journal of Turbo & Jet Engines","13","-","91","101","0"
"G.Biswas, K.Torii, D.Fujii and K.Nishino","Numerical Experimental Determination of Flow Structure and Heat Transfer Effects of Longitudinal Vortices in a Channel Flow","1996","International Journal of Heat and Mass Transfer","39","-","3441","3451","86"
"H. Laschefski, T. Cziesla, G. Biswas and N.K. Mitra","Numerical Investigation of Heat Transfer by Rows of Rectangular Impinging Jets","1996","Numerical Heat Transfer, Part A","30","-","87","101","42"
"D.A. Blank and S.C. Mishra","Use of the 2-D collapsed dimension method in gray enclosures with absorbing-emitting-isotropic scattering media in radiative equilibrium","1996","Numerical Heat Transfer, Part B","30","-","469","481","9"
"U.S. Dixit and P.M. Dixit","A study on residual stresses in rolling","1997","Int. J. Mach. Tools Manufact.","37","-","837","853","0"
"Saha UK, and Roy B","Experimental Investigations of Tandem Compressor Cascade Performance at Low Speeds","1997","Experimental Thermal and Fluid Science","14","-","263","276","10"
"U.S. Dixit and P.M. Dixit","Finite element analysis of flat rolling with inclusion of anisotropy","1997","Int. J. Mech. Sci","39","-","1237","1255","12"
"R. Tiwari and N. S. Vyas","Non-Linear Bearing Stiffness Parameter Extraction From Random Response in Flexible Rotor-Bearing Systems.","1997","Journal of Sound and Vibration","203","3","389","408","5"
"B.L. Owsenek, T. Cziesla, N.K. Mitra and G. Biswas","Numerical Investigation of Heat Transfer in Impinging Axial and Radial Jets with Superimposed Swirl","1997","International Journal of Heat and Mass Transfer","40","-","141","147","16"
"R. Tiwari and N. S. Vyas","Parameter Estimation in Imbalanced Non-Linear Rotor-Bearing Systems from Random Response","1997","Journal of Sound and Vibration","208","1","1","14","4"
"A.K. Dass and S.M. Deshpande","A KFVS-GMRES Hybrid Solution Procedure for Euler Equations","1998","Computational Fluid Dynamics Journal","7","-","131","145","0"
"G. Biswas, V. Eswaran, G. Ghai and A. Gupta","A Numerical Study on Flow Through the Spiral Casing of a Hydraulic Turbine","1998","International Journal for Numerical Methods in Fluids","28","-","143","156","1"
"D. Chakraborty and B. Pradhan","Critical Strain Energy Release Rate of Broken Ply Composite Laminates","1998","Journal Reinforced Plastics and Composites","17","6","498","511","6"
"S. Singh, G. Biswas, and A. Mukhopadhyay","Effect of Thermal Buoyancy on the Flows through a Vertical Channel with a Built-in Circular Cylinder","1998","Numerical Heat Transfer, Part A","34","-","769","789","32"
"S.C. Mishra and M. Prasad","Radiative heat transfer in participating media – a review","1998","Sádhana","23","2","213","232","11"
"R. Tiwari and N. S. Vyas","Stiffness Estimation from Random Response in Multi-Mass Rotor Bearing Systems","1998","Probabilistic Engineering Mechanics","13","5","255","268","6"
"P.K. Maji and G. Biswas","Three-dimensional Analysis of Flow in the Spiral Casing of a Reaction Turbine using a Differently Weighted Petrov Galerkin Method","1998","Computer Methods in Applied Mechanics and Engineering","167","-","167","190","2"
"P.K. Maji and G. Biswas","Analysis of Flow in the Spiral Casing Using a Streamline Upwind Petrov-Galerkin Method","1999","International Journal for Numerical Methods in Engineering","45","-","147","174","20"
"S. K. Dwivedy and R. C. Kar","Dynamics of a slender beam with an attached mass under combination parametric and internal resonances","1999","Part I: steady state response. Journal of Sound and Vibration","221","5","823","848","17"
"S. K. Dwivedy and R. C. Kar","Dynamics of a slender beam with an attached mass under combination parametric and internal resonances, Part II: Periodic and Chaotic response","1999","Journal of Sound and Vibration","222","2","281","305","17"
"S. K. Kakoty and B. C. Majumdar","Effect of Fluid Inertia on Stability of Flexibly Supported Oil Journal Bearings: Linear Perturbation Analysis","1999","Tribology International","32","4","217","228","3"
"D. Chakraborty and B. Pradhan","Effect of Ply Thickness and Fiber Orientation on Delamination Initiation in Broken Ply Composite","1999","Journal Reinforced Plastics and Composites","35","8","735","758","3"
"A.K. Saha, G. Biswas, and K. Muralidhar","Influence of Inlet Shear on the Structure of Wake behind a Square Cylinder","1999","Journal of Engineering Mechanics (ASCE)","125","-","359","363","13"
"T. Cziesla, G. Biswas and N.K. Mitra","Large Eddy Simulation in a Turbulent Channel Flow Using Exit Boundary Conditions","1999","International Journal for Numerical Methods in Fluids","30","-","763","773","1"
"S. K. Dwivedy and R. C. Kar","Non-linear dynamics of a slender beam carrying a lumped mass with principal parametric and internal resonances","1999","International Journal of Nonlinear Mechanics","34","3","515","529","15"
"S. K. Dwivedy and R. C. Kar","Nonlinear response of a parametrically excited system using higher order multiple scales","1999","Nonlinear Dynamics","20","2","115","130","4"
"A. A. Bastani Jahromi, N.K. Mitra and G. Biswas","Numerical Investigations on Enhancement of Heat Transfer in a Compact Fin-and -Tube Heat Exchanger Using Delta Winglet Type Vortex Generators","1999","Enhanced Heat Transfer","6","-","1","11","13"
"A.K. Saha, G. Biswas and K. Muralidhar","Numerical Study of the Turbulent Unsteady Wake Behind a Partially Enclosed Square Cylinder using RANS","1999","Computer Methods in Applied Mechanics and Engineering","178","-","323","341","15"
