	pub_type	alt_people_text	name	pub_year	pub_journal	pub_vol	pub_issue	page_start	page_end	abstract	citations	download_link
	2	P. Rath, S.C. Mishra, P. Mahanta, U.K. Saha, K. Mitra	Discrete transfer method applied to transient radiative transfer problems in participating medium	2003	Numerical Heat Transfer	Part A: Applications	44	2	183		197	
	2	R.P Chopade, E. Agnihotri, A.K.Singh, A.Kumar, R.Uppaluri, S.C Mishra, P.Mahanta	Application of a particle swarm algorithm for parameter retrieval in a transient conduction-radiation problem	2011	Numerical Heat Transfer	Part A: Applications	59	9	672		692	
	2	R.P Chopade, S.C Mishra, P. Mahanta, S. Maruyama	Numerical analysis of an inverseboundary design problem of a 3-D radiant furnace with a 3-D design object	2011	Numerical Heat Transfer	Part A: Applications	60	1	25		49	
	2	Xiaojing Suo, Hengcheng Liao, Yiyun Hu, Uday S. Dixit, Pavel Petrov	Formation of Al15Mn3Si2 phase during solidification of a novel Al-12%Si-4%Cu-1.2%Mn heat-resistant alloy and its thermal stability	2018	Journal of Materials Engineering and Performance	Online on Feb. 21, 2018					0	
	2	Xiaojing Suo, Hengcheng Liao, Yiyun Hu, Uday S. Dixit, Pavel Petrov	Formation of Al15Mn3Si2 phase during solidification of a novel Al-12% Si-4% Cu-1.2% Mn heat-resistant alloy and its thermal stability	2018	Journal of Materials Engineering and Performance	Online on Feb. 21, 2018					0	
	2	Xiaojing Suo, Hengcheng Liao, Yiyun Hu, Uday S. Dixit, Pavel Petrov	Formation of Al15Mn3Si2 phase during solidification of a novel Al-12%Si-4%Cu-1.2%Mn heat-resistant alloy and its thermal stability	2018	Journal of Materials Engineering and Performance	Online on Feb. 21, 2018					0	
	2	U Talukdar, SM Hazarika, JQ Gan	Motor imagery and mental fatigue: inter-relationship and EEG based estimation	2018	Journal of computational neuroscience	Online First					0	
	2	R. Chakrabarti, P. Biswas, S. C. Saha	A Review on Welding Residual Stress Measurement by Hole Drilling Technique and its Importance	2018	Journal of Welding and Joining	ISSN 2466-2232Online ISSN 2466-2100, pp 38-45.					0	
	2	H. K. Narang, M. M. Mahapatra, P. K. Jha, PVSS Sridhar and P. Biswas (2018) ,	Experimental and Numerical Study on Effect of Weld Reinforcement on Angular Distortion of SAW Square butt Welded Plates	2018	Journal of Welding and Joining,	ISSN 2466-2232, Online ISSN 2466-2100, https://doi.org/10.5781/JWJ.2018.36.2.8.					0	
	2	A. Singh, P. Kumari	Two-Dimensional elasticity solution for arbitrarily supported axially functionally graded	2018	Journal of Solid Mechanics	Inpress					0	
	2	Agyapal Singh, Poonam Kumari	Analytical Solution of Functionally Graded Beam Having Longitudinal Stiffness Variation	2018	International Journal for Computational Methods in Engineering Science & Mechanics	Inpress					0	
	2	Parmananda, M., Dalal, A., and Natarajan, G.	Numerical appraisal of three low Mach number algorithms for radiative-convective flows in enclosures	2018	Computers and Mathematics with Applications	In Press					0	
	2	Manik, J., Dalal, A., and Natarajan, G.	A Parametric Study on the Droplet Detachment Process from the Ceiling Under the Effect of Gravity	2018	Engineering Computations	In Press					0	
	2	H. S. Gaikwad, A. Roy, P. K. Mondal, N. Chimres, S. Wongwises	Irreversibility analysis in a slip aided electroosmotic flow through an asymmetrically heated microchannel: The effects of joule heating and the conjugate heat transfer	2018	Analytica Chimica Acta	in press					0	
	2	Agyapal Singh, Poonam Kumari, and Rupam Hazarika	Analytical Solution for Bending Analysis of Axially Functionally Graded Angle-Ply Flat Panels	2018	Mathematical Problems in Engineering	ID 2597484		1	17		0	
	2	A. Misra, P.M. Pandey, U.S. Dixtt, A. Roy and V.V. Silberschmidt	Multi-objective optimization of ultrasonic-assisted magnetic abrasive finishing process	2019	International Journal of Advanced Manufacturing Technology,	https://doi.org/10.1007/s00170-018-3060-0.		1	10		0	
	2	Piyush Singh, Pankaj Biswas and Sachin D Kore ,	Influence of Welding Traverse Speed in Self-Reacting Friction Stir Welding of Aluminium alloy AA6061-T6	2018	Journal of Ship Production and Design	http://dx.doi.org/10.5957/JSPD.160047					0	
	2	G.C. Verma, P.M. Pandey and U.S. Dixit	An experimental study on surface roughness and frictional property of ultrasonic-vibration-assisted milled surface	2019	Proceedings of IMECH-E, Part C: Journal of Mechanical Engineering Science	DOI: 10.1177/0954406219834587					0	
	2	Rakesh Bhadra, Pardeep Pankaj, Pankaj Biswas and U. S. Dixit	Thermo-mechanical analysis of CO2 Laser butt welding on AISI 304 steel thin plates	2018	Internation Journal of Steel Structures	DOI 10.1007/s13296-018-0085-z,pp 1-14 (accepted). February 2019, Volume 19, Issue 1, pp 14–27					0	
	2	K.K. Gajrani, R. P. K. Reddy and M.R. Sankar	Tribo-mechanical, surface morphological comparison of un-textured, mechanical micro-textured (MµT) and coated-MµT cutting tools during machining	2018	Proceedings of the Institution of Mechanical Engineers, Part J: Journal of Engineering Tribology	Available online	DOI: 10.1177/1350650118764975				0	
	2	Rasmi Ranjan Behera, M. Ravi Sankar, Prahlad Kumar Baruah, Ashwini Kumar Sharma, Alika Khare	Experimental investigation of nanosecond-pulsed Nd:YAG laser beam micromachining on 304 stainless steel	2018	Journal of Micromanufacturing	Available online	DOI: 10.1177/2516598418766937				0	
	2	M. Ravi Sankar, V.K. Jain, J. Ramkumar, Shivesh K. Sareen, Sachin Singh	Medium rheological characterization and performance study during rotational abrasive flow finishing (R-AFF) of Al alloy and Al alloy/SiC MMCs	2018	International Journal of Advanced Manufacturing Technology	Available online	DOI: 10.1007/s00170-018-2244-y				0	
	2	Rasmi Ranjan Behera, Abshar Hasan, M. Ravi Sankar, L.M. Pandey	Laser cladding with HA and functionally graded TiO2-HA precursors on Ti-6Al-4V alloy for enhancing bioactivity and cyto-compatibality	2018	Surface and Coatings Technology	Available online	DOI: 10.1016/j.surfcoat.2018.08.044				0	
	2	Anwesa Barman, Manas Das	Magnetic field assisted finishing process for super-finished Ti alloy implant and its 3D surface characterization	2018	The Proceedings of the Institution of Mechanical Engineers	Available online	DOI: https://doi.org/10.1177/2516598418785506				0	
	2	Anupam Alok, Manas Das	Multi-objective optimization of cutting parameters during sustainable dry hard turning of AISI 52100 steel with newly develop HSN2coated carbide insert	2018	Measurement	Available online	DOI: https://doi.org/10.1016/j.measurement.2018.10.009				0	
	2	G. Ranjan and R. Tiwari	Application of Active Magnetic Bearings for In-Situ Flexible Rotor Residual Balancing Using a Novel Generalized Influence Coefficient Method	2018	Inverse Problems in Science & Engineering	Available online	https://doi.org/10.1080/17415977.2018.1503258				0	
	2	Vikas Prasad and R. Tiwari	Identification of Speed-Dependent Active Magnetic Bearing Parameters and Rotor Balancing in High-Speed Rotor Systems	2018	ASME, Journal of Dynamic Systems, Measurement and Control	Available online	doi:10.1115/1.4042026				0	
	2	J. S. Rapur and R. Tiwari	On-line Time Domain Vibration and Current Signals Based Multi-Fault Diagnosis of Centrifugal Pumps using Support Vector Machines	2018	Journal of Nondestructive Evaluation	Available online	https://doi.org/10.1007/s10921-018-0544-7	1	18		0	
	2	R. K. Ojha and S. K Dwivedy	Dynamic Analysis of Sandwich Plates with Isotropic Skins and Viscoelastic Core	2018	International Journal of Structural Stability and Dynamics	Available Online					0	
	2	W.G. Jiru, M.R. Sankar and U.S. Dixit	Laser surface alloying of aluminum for improving acid corrosion resistance	2018	Journal of Institution of Engineers, Series (C)	Available online					0	
	2	R. Bhadra, P. Pankaj, P. Biswas and U.S. Dixit	Thermo-mechanical analysis of CO2 laser butt welding on AISI 304 steel thin plates	2018	International Journal of Steel Structures	Available online		1	14		0	
	2	Randive, P., Dalal, A., and Mukherjee, P.	Probing the Influence of Confinement and Wettability on Droplet Displacement Behavior: A Mesoscale Analysis	2018	European Journal of Mechanics, B/Fluids	available online					0	
	2	Deka, M., Brahmachary, S., Thirumalaisamy, R., Dalal, A., and Natarajan, G.	A new Green-Gauss Reconstruction on Unstructured Meshes. Part I: Gradient Reconstruction	2018	Journal of Computational Physics	available online					0	
