page_ptr	id	path	depth	numchild	title	draft_title	slug	content_type	live	has_unpublished_changes	url_path	owner	seo_title	show_in_menus	search_description	go_live_at	expire_at	expired	locked	first_published_at	last_published_at	latest_revision_created_at	live_revision	name	code	photo	lectures	tutorials	practicals	credits	eligible_programmes	course_type	zero	zero_sem	one	one_sem	two	two_sem	three	three_sem	four	four_sem	five	five_sem	six	six_sem	description	course_page_link	document
330	330	0001000100020001	4	0	Introductory Biology	Introductory Biology	bt101	9	1	0	/mech/academics/bt101/			0				0	0					Introductory Biology	BT101		3	0	0	6	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0			
331	331	0001000100020002	4	0	Chemistry	Chemistry	ch101	9	1	0	/mech/academics/ch101/			0				0	0					Chemistry	CH101		3	1	0	8	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0			
332	332	0001000100020003	4	0	Chemistry Laboratory	Chemistry Laboratory	ch110	9	1	0	/mech/academics/ch110/			0				0	0					Chemistry Laboratory	CH110		0	0	3	3	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0			
333	333	0001000100020004	4	0	Introduction to Computing	Introduction to Computing	cs101	9	1	0	/mech/academics/cs101/			0				0	0					Introduction to Computing	CS101		3	0	0	6	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0			
334	334	0001000100020005	4	0	Computing Lab	Computing Lab	cs110	9	1	0	/mech/academics/cs110/			0				0	0					Computing Lab	CS110		0	0	3	3	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0			
335	335	0001000100020006	4	0	Electrical Sciences	Electrical Sciences	ee101	9	1	0	/mech/academics/ee101/			0				0	0					Electrical Sciences	EE101		3	1	0	8	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0			
336	336	0001000100020007	4	0	Basic Electronics Laboratory	Basic Electronics Laboratory	ee102	9	1	0	/mech/academics/ee102/			0				0	0					Basic Electronics Laboratory	EE102		0	0	3	3	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0			
337	337	0001000100020008	4	0	Electrical Machines	Electrical Machines	ee380	9	1	0	/mech/academics/ee380/			0				0	0					Electrical Machines	EE380		3	0	0	6	0	3	1	5	0	0	0	0	0	0	0	0	0	0	0	0			
338	338	0001000100020009	4	0	Open Elective I	Open Elective I	eoxxx-1	9	1	0	/mech/academics/eoxxx-1/			0				0	0					Open Elective I	EOXXX 1		3	0	0	6	0	5	1	7	0	0	0	0	0	0	0	0	0	0	0	0			
339	339	000100010002000A	4	0	Open Elective - III	Open Elective - III	eoxxx-2	9	1	0	/mech/academics/eoxxx-2/			0				0	0					Open Elective - III	EOXXX 2		3	0	0	6	0	5	1	8	0	0	0	0	0	0	0	0	0	0	0	0			
340	340	000100010002000B	4	0	HSS Elective - II	HSS Elective - II	hs-1xx	9	1	0	/mech/academics/hs-1xx/			0				0	0					HSS Elective - II	HS 1xx		3	0	0	6	0	4	1	5	0	0	0	0	0	0	0	0	0	0	0	0			
341	341	000100010002000C	4	0	HSS English Communication (PP/NP)	HSS English Communication (PP/NP)	hs101	9	1	0	/mech/academics/hs101/			0				0	0					HSS English Communication (PP/NP)	HS101		2	0	2	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0			
342	342	000100010002000D	4	0	HSS Elective - I	HSS Elective - I	hs1xx-1	9	1	0	/mech/academics/hs1xx-1/			0				0	0					HSS Elective - I	HS1xx 1		3	0	0	6	0	4	1	4	0	0	0	0	0	0	0	0	0	0	0	0			
343	343	000100010002000E	4	0	HSS Elective - IV	HSS Elective - IV	hs2xx-1	9	1	0	/mech/academics/hs2xx-1/			0				0	0					HSS Elective - IV	HS2XX 1		3	0	0	6	0	4	1	8	0	0	0	0	0	0	0	0	0	0	0	0			
344	344	000100010002000F	4	0	HSS Elective III	HSS Elective III	hs2xx-2	9	1	0	/mech/academics/hs2xx-2/			0				0	0					HSS Elective III	HS2XX 2		3	0	0	6	0	4	1	7	0	0	0	0	0	0	0	0	0	0	0	0			
345	345	000100010002000G	4	0	Mathematics - I	Mathematics - I	ma101	9	1	0	/mech/academics/ma101/			0				0	0					Mathematics - I	MA101		3	1	0	8	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0			
346	346	000100010002000H	4	0	Mathematics - II	Mathematics - II	ma102	9	1	0	/mech/academics/ma102/			0				0	0					Mathematics - II	MA102		3	1	0	8	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0			
347	347	000100010002000I	4	0	Mathematics - III	Mathematics - III	ma201	9	1	0	/mech/academics/ma201/			0				0	0					Mathematics - III	MA201		3	1	0	8	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0			
348	348	000100010002000J	4	0	Engineering Mechanics	Engineering Mechanics	me101	9	1	0	/mech/academics/me101/			0				0	0					Engineering Mechanics	ME101		3	1	0	8	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0			
349	349	000100010002000K	4	0	Workshop	Workshop	me110-1	9	1	0	/mech/academics/me110-1/			0				0	0					Workshop	ME110 1		0	0	3	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0			
350	350	000100010002000L	4	0	Workshop	Workshop	me110-2	9	1	0	/mech/academics/me110-2/			0				0	0					Workshop	ME110 2		0	0	3	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0			
351	351	000100010002000M	4	0	Engineering Drawing	Engineering Drawing	me111	9	1	0	/mech/academics/me111/			0				0	0					Engineering Drawing	ME111		2	0	3	7	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0			
352	352	000100010002000N	4	0	Thermodynamics	Thermodynamics	me211	9	1	0	/mech/academics/me211/			0				0	0					Thermodynamics	ME211		2	1	0	6	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	"<p><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Thermodynamic systems; States, processes, Zeroth law; Properties of pure substances and steam, Mollier diagram; Heat and work transfer, First law and its applications to closed and open systems; Second law, Carnot cycle, entropy, corollaries of the second law; irreversibility and exergy analysis; Thermodynamic property relations; Properties of mixtures of ideal gases; and characteristic constants for mixture; Thermodynamic cycles: Air Standard cycles and vapour power cycles, refrigeration cycles. \n\nTexts: \n[1] Y. A. Cengel and M. A. Boles, Thermodynamics, An Engineering Approach, Tata McGraw Hill, 2003\n[2] R. E. Sonntag, C Borgnakke and G. J. Van Wylen, Fundamentals of Thermodynamics, John Wiley, 2003. \n[3] M. J. Moran and H N Shapiro, Fundamentals of Engineering Thermodynamics, John Wiley, 1995\n\nReferences:\n[1] J. P. Howell and P. O. Buckius, Fundamentals of Engineering Thermodynamics, McGraw Hill, 1992. \n[2] G. F. C. Rogers and Y. R. Mayhew, Engineering Thermodynamics Work and Heat Transfer, Pearson 2003. &quot;}"" data-sheets-userformat=""{&quot;2&quot;:513,&quot;3&quot;:{&quot;1&quot;:0},&quot;12&quot;:0}"">Thermodynamic systems; States, processes, Zeroth law; Properties of pure substances and steam, Mollier diagram; Heat and work transfer, First law and its applications to closed and open systems; Second law, Carnot cycle, entropy, corollaries of the second law; irreversibility and exergy analysis; Thermodynamic property relations; Properties of mixtures of ideal gases; and characteristic constants for mixture; Thermodynamic cycles: Air Standard cycles and vapour power cycles, refrigeration cycles. <br /><br />Texts: <br />[1] Y. A. Cengel and M. A. Boles, Thermodynamics, An Engineering Approach, Tata McGraw Hill, 2003<br />[2] R. E. Sonntag, C Borgnakke and G. J. Van Wylen, Fundamentals of Thermodynamics, John Wiley, 2003. <br />[3] M. J. Moran and H N Shapiro, Fundamentals of Engineering Thermodynamics, John Wiley, 1995<br /><br />References:<br />[1] J. P. Howell and P. O. Buckius, Fundamentals of Engineering Thermodynamics, McGraw Hill, 1992. <br />[2] G. F. C. Rogers and Y. R. Mayhew, Engineering Thermodynamics Work and Heat Transfer, Pearson 2003. </span></p>"		
353	353	000100010002000O	4	0	Solid Mechanics - I	Solid Mechanics - I	me212	9	1	0	/mech/academics/me212/			0				0	0					Solid Mechanics - I	ME212		2	1	0	6	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	"<p><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Prerequisite: ME 101 Engineering Mechanics or equivalent\n\nAnalysis of stresses in solids: 3D state of stress at a point, principal stresses, Mohr&rsquo;s circle representation, analysis of deformation of solids: 3D state of strains, principal strains; constitutive relations for isotropic materials, theories of failure for isotropic materials, axially loaded members, shear force and bending moment diagrams, stresses due to bending of beam elements, torsion of circular shafts, combined stresses in beam elements due to bending, torsion an axial loads, deflection of beam elements, stresses in thin cylinders and pressure vessels, buckling of columns.\n\nTexts:\n[1] E. P. Popov, Engineering Mechanics of Solids, Prentice Hall, 1998.\n[2] F. P. Beer, E. R. Johnston (Jr.) and J.T. DeWolf, Mechanics of Materials, Tata McGraw Hill, 2005.\n\nReferences:\n[1] S. H. Crandall, N. C. Dahl, and T. J. Lardner, An Introduction to The Mechanics Of Solids, 2nd Ed., Tata McGraw Hill, 2008.\n[2] S. P. Timoshenko, Strength of Materials, Vols. 1 &amp; 2, CBS Publishers, 1986.\n[3] H. Shames and J. M. Pitarresi, Introduction to Solid Mechanics, Prentice Hall of India, 2003.\n[4] J. M. Gere, Mechanics of Materials, Thomson Brooks/Cole, 2006.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:513,&quot;3&quot;:{&quot;1&quot;:0},&quot;12&quot;:0}"">Prerequisite: ME 101 Engineering Mechanics or equivalent<br /><br />Analysis of stresses in solids: 3D state of stress at a point, principal stresses, Mohr&rsquo;s circle representation, analysis of deformation of solids: 3D state of strains, principal strains; constitutive relations for isotropic materials, theories of failure for isotropic materials, axially loaded members, shear force and bending moment diagrams, stresses due to bending of beam elements, torsion of circular shafts, combined stresses in beam elements due to bending, torsion an axial loads, deflection of beam elements, stresses in thin cylinders and pressure vessels, buckling of columns.<br /><br />Texts:<br />[1] E. P. Popov, Engineering Mechanics of Solids, Prentice Hall, 1998.<br />[2] F. P. Beer, E. R. Johnston (Jr.) and J.T. DeWolf, Mechanics of Materials, Tata McGraw Hill, 2005.<br /><br />References:<br />[1] S. H. Crandall, N. C. Dahl, and T. J. Lardner, An Introduction to The Mechanics Of Solids, 2nd Ed., Tata McGraw Hill, 2008.<br />[2] S. P. Timoshenko, Strength of Materials, Vols. 1 &amp; 2, CBS Publishers, 1986.<br />[3] H. Shames and J. M. Pitarresi, Introduction to Solid Mechanics, Prentice Hall of India, 2003.<br />[4] J. M. Gere, Mechanics of Materials, Thomson Brooks/Cole, 2006.</span></p>"		
