page_ptr	id	path	depth	numchild	title	draft_title	slug	content_type	live	has_unpublished_changes	url_path	owner	seo_title	show_in_menus	search_description	go_live_at	expire_at	expired	locked	first_published_at	last_published_at	latest_revision_created_at	live_revision	principal_investigator	description	name	start_date	end_date	budget	funding_agency	funding_agency_link	project_type	alt_PI_text
917	917	00010001000300030001	5	0	Design of a Food Ecology System (FES) for Pig feed	Design of a Food Ecology System (FES) for Pig feed	design-of-a-food-ecology-system-fes-for-pig-feed	16	1	0	/mech/research/projects/design-of-a-food-ecology-system-fes-for-pig-feed/			0				0	0						Co-Investigator(s): Prof.S.K.Dwivedy, Prof.P.S.Robi , Prof.P. Muthukumar, Prof. R. Ganesh Narayanan, Prof. Poonam Kumari, Prof. Deepak Sharma, Prof. A Narayana Reddy , Prof.Ravi Sankar | Duration: 6 months	Design of a Food Ecology System (FES) for Pig feed	2000-01-01	2000-01-01	11.68	GNRC Limited		0	S Kanagaraj
918	918	00010001000300030002	5	0	Studies on thermal conductivity of nanofluids	Studies on thermal conductivity of nanofluids	1	16	1	0	/mech/research/projects/1/			0				0	0							Studies on thermal conductivity of nanofluids	2000-01-01	2000-01-01	0.552	Tata Consultancy Limited, Pune		0	S Kanagaraj
919	919	00010001000300030003	5	0	Energy Auditing in Cadila RAC plants	Energy Auditing in Cadila RAC plants	2	16	1	0	/mech/research/projects/2/			0				0	0							Energy Auditing in Cadila RAC plants	2000-01-01	2000-01-01	7.95	CADILA PHARMA		0	P Muthukumar
920	920	00010001000300030004	5	0	Training Program on Inventory and Supply Chain Management	Training Program on Inventory and Supply Chain Management	3	16	1	0	/mech/research/projects/3/			0				0	0						Co-Investigator(s): S. Pal, S D Kore, P C Kalita | Duration: 7 days	Training Program on Inventory and Supply Chain Management	2000-01-01	2000-01-01	23	Ministry of Heavy Industry & Public Enterprises		0	D. Sharma
921	921	00010001000300030005	5	0	Design of a Food Ecology System (FES) for Pig feed	Design of a Food Ecology System (FES) for Pig feed	4	16	1	0	/mech/research/projects/4/			0				0	0						Co-Investigator(s): Prof.S.K.Dwivedy, Prof.P.S.Robi , Prof.P. Muthukumar, Prof. R. Ganesh Narayanan, Prof. Poonam Kumari, Prof. Deepak Sharma | Duration: 6 months	Design of a Food Ecology System (FES) for Pig feed	2000-01-01	2000-01-01	11.68	GNRC Limited		0	S Kanagaraj
922	922	00010001000300030006	5	0	Design and development of metal hydride based hydrogen purification system:	Design and development of metal hydride based hydrogen purification system:	5	16	1	0	/mech/research/projects/5/			0				0	0						Duration: 2 years	Design and development of metal hydride based hydrogen purification system:	2000-01-01	2000-01-01	20.2	NTPC Ltd		0	Prof P Muthukumar
923	923	00010001000300030007	5	0	Training on Creep and Thermal Fatigue	Training on Creep and Thermal Fatigue	6	16	1	0	/mech/research/projects/6/			0				0	0						Duration: 2 days	Training on Creep and Thermal Fatigue	2000-01-01	2000-01-01	2.301	FCA Engineering Pvt. India Ltd.		0	Nelson Muthu
924	924	00010001000300030008	5	0	Fatigue analysis of (AK-630) Gun mount (Consultancy)	Fatigue analysis of (AK-630) Gun mount (Consultancy)	7	16	1	0	/mech/research/projects/7/			0				0	0						Co-Investigator(s) : Dr. P. Biswas	Fatigue analysis of (AK-630) Gun mount (Consultancy)	2013-01-01	2014-01-01	8.146	GOA Shipbuilding		0	Dr. N. R. Mandal
925	925	00010001000300030009	5	0	Root-cause Investigation & Rectification of an Industrial Fan Assembly Failure	Root-cause Investigation & Rectification of an Industrial Fan Assembly Failure	8	16	1	0	/mech/research/projects/8/			0				0	0							Root-cause Investigation & Rectification of an Industrial Fan Assembly Failure	2013-01-01	2013-01-01	0.24	Radiant Manufacturing Pvt. Ltd		0	Dr. R. Tiwari
926	926	0001000100030003000A	5	0	Testing of samples from Steel hollow tubular Sections	Testing of samples from Steel hollow tubular Sections	9	16	1	0	/mech/research/projects/9/			0				0	0							Testing of samples from Steel hollow tubular Sections	2013-01-01	2013-01-01	0.63034	Power Grid, NERTS		0	Dr. K. S. R. K. Murthy
