page_ptr	id	path	depth	numchild	title	draft_title	slug	content_type	live	has_unpublished_changes	url_path	owner	seo_title	show_in_menus	search_description	go_live_at	expire_at	expired	locked	first_published_at	last_published_at	latest_revision_created_at	live_revision	name	lab_type	faculty_incharge	intro	body	contact_number	address	photo_1	photo_2	photo_3
1181	1181	00010001000300020001	5	0	3D Printer Laboratory	3D Printer Laboratory	3d-printer-laboratory	20	1	0	/mech/research/facilities/3d-printer-laboratory/			0				0	0					3D Printer Laboratory	0		Provides facilities for 3D printing.						
1182	1182	00010001000300020002	5	0	Advance Mechatronics and Bio-materials lab	Advance Mechatronics and Bio-materials lab	1	20	1	0	/mech/research/facilities/1/			0				0	0					Advance Mechatronics and Bio-materials lab	0								
1183	1183	00010001000300020003	5	0	Advanced Manufacturing Laboratory	Advanced Manufacturing Laboratory	2	20	1	0	/mech/research/facilities/2/			0				0	0					Advanced Manufacturing Laboratory	0		Equipped with advanced equipments for manufacturing including micro-fabrication facility using CO2 Laser cutting technology.		91 361 2582678				
1184	1184	00010001000300020004	5	0	Aerodynamics lab	Aerodynamics lab	3	20	1	0	/mech/research/facilities/3/			0				0	0					Aerodynamics lab	0								
1185	1185	00010001000300020005	5	0	CAD/CAM Laboratory	CAD/CAM Laboratory	4	20	1	0	/mech/research/facilities/4/			0				0	0					CAD/CAM Laboratory	0		Specialized in extending computer-assisted software tools needed for design and analysis such as ABAQUS, ANSYS, Master CAM, Pro/E, ADAMS etc.		91 361 2583441				
1186	1186	00010001000300020006	5	0	CFD lab	CFD lab	5	20	1	0	/mech/research/facilities/5/			0				0	0					CFD lab	0								
1187	1187	00010001000300020007	5	0	Composite and Fracture lab	Composite and Fracture lab	6	20	1	0	/mech/research/facilities/6/			0				0	0					Composite and Fracture lab	0								
1188	1188	00010001000300020008	5	0	Computation MD Lab	Computation MD Lab	7	20	1	0	/mech/research/facilities/7/			0				0	0					Computation MD Lab	0								
1189	1189	00010001000300020009	5	0	Dynamics and Vibration lab	Dynamics and Vibration lab	8	20	1	0	/mech/research/facilities/8/			0				0	0					Dynamics and Vibration lab	0								
1190	1190	0001000100030002000A	5	0	Electromechanics lab	Electromechanics lab	9	20	1	0	/mech/research/facilities/9/			0				0	0					Electromechanics lab	0								
